Question,Processed Words Set
"""查找170.10.10.10网络设备""",查找 网络设备
"""查找170.10.10.10的Windows""",查找 Windows
"""查找采购日期是2015年11月10的Linux服务器""",查找 日期 服务器 Linux 月 采购 年
"""10网段昨天有没有人新接入设备？""",接入 有没有 网段 设备 人新 昨天
"""今年有没有人新接入设备？""",人新 接入 设备 有没有
"""2024-04-01日cpu平均负载超过90%的设备""",超过 负载 日 设备 cpu 平均
"""负责人是超级管理员的服务器有哪些?""",管理员 负责人 超级 服务器
"""查询设备1.1.1.1在2024-04-01日的告警信息""",查询 设备 告警信息 日
"""最近1周3楼机房有没有设备做过变更？""",有没有 做过 机房 变更 设备 楼 周
"""列出所有思科设备""",思科 设备 列出
"""列出30.0.3.29的告警规则""",告警 规则 列出
"""最近一周100.100.100.1的流量有没有异常""",流量 有没有 异常 一周
"""查询10.0.0.0/8网段的设备""",网段 设备 查询
"""对OA业务进行根原因定位""",OA 原因 业务 定位 根
"""查询ip地址是10.10.1.5.46的uuid和相关信息""",ip uuid 查询 地址 相关 信息
"""查看IP地址是200.200.200.1最近30分钟CPU的历史记录曲线""",历史记录 IP地址 分钟 曲线 查看 CPU
"""根据uuid获取最近30分钟的CPU历史记录画曲线图""",曲线图 历史记录 画 CPU uuid 分钟 获取
"""画出1.1.1.1到1.1.1.3的链路图""",链路 画出 图
"""查看ip地址是10.1.5.46的进程列表""",ip 进程 列表 地址 查看
"""通过uuid和相关信息获取主机当前进程列表""",uuid 进程 列表 相关 主机 信息 获取
"""查看ip地址是10.1.5.46的uuid和相关信息""",ip uuid 地址 查看 相关 信息
"""根据uuid获取相关的负责人信息""",uuid 相关 负责人 信息 获取
