"问题ID", "问题描述"
"1", "查找170.10.10.10网络设备"
"2", "查找170.10.10.10的Windows"
"3", "查找采购日期是2015年11月10的Linux服务器"
"4", "10网段昨天有没有人新接入设备？"
"5", "今年有没有人新接入设备？"
"6", "2024-04-01日cpu平均负载超过90%的设备"
"7", "负责人是超级管理员的服务器有哪些?"
"8", "查询设备1.1.1.1在2024-04-01日的告警信息"
"9", "最近1周3楼机房有没有设备做过变更？"
"10", "列出所有思科设备"
"11", "列出30.0.3.29的告警规则"
"12", "最近一周100.100.100.1的流量有没有异常"
"13", "查询10.0.0.0/8网段的设备"
"14", "对OA业务进行根原因定位"
"15", "查询ip地址是10.10.1.5.46的uuid和相关信息"
"16", "查看IP地址是200.200.200.1最近30分钟CPU的历史记录曲线"
"17", "根据uuid获取最近30分钟的CPU历史记录画曲线图"
"18", "画出1.1.1.1到1.1.1.3的链路图"
"19", "查看ip地址是10.1.5.46的进程列表"
"20", "通过uuid和相关信息获取主机当前进程列表"
"21", "查看ip地址是10.1.5.46的uuid和相关信息"
"22", "根据uuid获取相关的负责人信息"
